Event #,Value only in UCSB
Event 138715674,-0.416825
Event 138715706,0.883241
Event 138715739,-0.268172
Event 138715747,-0.418082
Event 138715809,1.26427
Event 138715869,-1.34062
Event 138715782,-0.343387
Event 138715903,1.0138
Event 138715921,-0.923591
Event 138716006,1.32765
Event 138716072,-0.283081
Event 138716088,0.397331
Event 138716152,-0.48481
Event 138716245,-1.64766
Event 138716177,-0.386507
Event 138716257,-0.134613
Event 138716251,0.743991
Event 138716232,1.00782
Event 138716208,-0.454133
Event 138716259,-0.258474
Event 138716276,-2.0085
Event 138716302,1.2837
Event 138716370,0.57314
Event 138716409,-0.907291
Event 138716378,1.43016
Event 138716436,-0.524854
Event 138716496,-1.41645
Event 138716530,-0.0300138
Event 138716602,-0.466733
Event 138716613,0.409606
Event 138716710,1.24317
Event 138716769,0.39146
Event 138716786,0.124221
Event 138716787,0.0122675
Event 138716789,0.622565
Event 138716827,0.386199
Event 138716701,-0.693666
Event 138716823,-0.501878
Event 138716820,-1.05167
Event 138716836,0.778494
Event 138716897,1.25367
Event 138716917,1.59813
Event 138716917,-0.00563929
Event 138716942,1.57736
Event 138716956,2.09473
Event 138716996,-1.45123
Event 138717015,1.33465
Event 138717000,-0.392918
Event 138717119,1.69226
Event 138717021,1.56907
Event 138717192,0.629333
Event 138717170,-0.182154
Event 138717204,-0.550247
Event 138717224,-0.731359
Event 138717213,0.88636
Event 138717300,0.257687
Event 138717337,0.19615
Event 138717377,-0.469778
Event 138717321,1.30572
Event 138717349,-1.55926
Event 138717461,0.732128
Event 138717441,-0.349255
Event 138717470,-0.42902
Event 138717508,1.28276
Event 138717472,0.0297812
Event 138717581,2.11647
Event 138717650,0.656857
Event 138717707,-1.83566
Event 138717741,-0.983767
Event 138717762,1.03803
Event 138717782,1.43904
Event 138717844,0.474922
Event 138717910,1.89502
Event 138717940,1.53361
Event 138717931,2.24046
Event 138717975,-1.08221
Event 138718002,-0.623043
Event 138718039,0.350988
Event 138718023,-2.23189
Event 138718069,-0.542443
Event 138718040,-1.6657
Event 138718088,1.68694
Event 138718054,0.203434
Event 138718149,0.565335
Event 138718168,0.0933385
Event 138718150,-2.00959
Event 138718148,-0.897888
Event 138718164,0.410416
Event 138718185,1.19844
Event 138718205,0.891251
Event 138718210,0.85071
Event 144733148,1.30079
Event 144733134,-1.64571
Event 144733275,-0.995426
Event 144733353,-2.38217
Event 144733387,1.03881
Event 144733391,-1.08156
Event 144733406,-0.226338
Event 144733419,1.5882
Event 144733446,1.57551
Event 144733457,1.172
Event 144733585,1.56357
Event 144733559,1.20235
Event 144733571,-2.44431
Event 144733623,0.72325
Event 144733619,1.0728
Event 144733636,-1.60315
Event 144733650,0.427375
Event 144733638,0.78292
Event 144733672,0.579044
Event 144733654,0.767247
Event 144733689,0.598225
Event 144733762,0.237404
Event 144733816,-0.255417
Event 144733760,0.0842148
Event 144733820,0.695278
Event 144733833,1.60956
Event 144733826,1.18599
Event 144733815,0.554165
Event 144733878,-1.81382
Event 144733909,-0.0981857
Event 144733941,-1.11764
Event 144733918,-1.1303
Event 144733955,-1.31328
Event 144733932,0.278638
Event 144733913,1.01905
Event 144734013,2.30697
Event 144734119,-0.979238
Event 144734099,2.36714
Event 144734123,-0.000651447
Event 144734151,1.79892
Event 144734270,0.0443167
Event 144734261,-0.140099
Event 144734319,0.218514
Event 144734295,-0.350087
Event 144734330,0.727779
Event 144734365,-0.584155
Event 144734355,-1.08407
Event 144734343,-1.04058
Event 144734399,-0.170992
Event 144734478,-0.580507
Event 144734493,-1.10822
Event 144734427,0.568979
Event 144734492,-1.04718
Event 144734535,1.10236
Event 144734541,-0.808059
Event 144734466,1.11989
Event 144734564,-0.0464025
Event 144734546,0.751282
Event 144734549,-0.531138
Event 144734654,1.39226
Event 144734764,-0.0883513
Event 144734739,1.10451
Event 144734848,1.34384
Event 144734790,-1.60369
Event 144734867,-0.265819
